gene_symbol,Howard_pvalue,gene_name,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_genome_percentile_rank,meta_meta_lower_in_MDD_genome_percentile_rank,meta_direction,meta_empirical_p,minp,Spearman_corr,Spearman_p,Corrected_meta_empirical_p,Bonferroni_meta_empirical_p,DE_Prior_Rank,brain_region,region_location,slim_region_location,cns_cell_type_taxon,cns_cell_type_taxon_zscore,cell_type_taxon,cell_type_taxon_zscore
SAMD5,1.21e-08,sterile alpha motif domain containing 5,----,--------,--+---,0.00133999292804584,0.0020502216722867,+,0.00268,0.001158159,-0.0253,0.68,0.721,0.721,0.882,locus ceruleus,locus ceruleus <  pontine tegmentum  <  pons  <  metencephalon  < gray matter,locus ceruleus < pontine tegmentum,Di- and mesencephalon inhibitory neurons,2.31663627794291,Enteric neurons,3.41099224324459
PCDH9,3.53e-10,protocadherin 9,-+-+,-+++----,-+++++,0.00245090197831096,0.00214339519112925,-,0.00429,0.004988764,-0.0253,0.68,1.15,1,0.94,corpus callosum,corpus callosum <  telencephalic commissures  <  telencephalic white matter  < white matter,corpus callosum < telencephalic commissures,Oligodendrocytes,3.70140632202485,Oligodendrocytes,3.84835815637682
ZC3H7B,2.91e-08,zinc finger CCCH-type containing 7B,+-++,----++++,+++++-,0.00421338349306991,0.00261258440989582,-,0.00523,0.002430993,-0.0253,0.68,1.41,1,0.183,pontine nuclei,pontine nuclei <  basal part of pons  <  pons  <  metencephalon  < gray matter,pontine nuclei < basal part of pons,Cholinergic and monoaminergic neurons,3.77444321120833,Sympathetic cholinergic neurons,2.36603288386083
HIST1H2BO,9.65e-08,histone cluster 1 H2B family member o,----,Not_Available,Filtered_Out,0.00313694176695374,0.00616016427104723,+,0.00627,0.00607244484267725,-0.0253,0.68,1.69,1,0.528,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available
PSORS1C1,1.74e-08,psoriasis susceptibility 1 candidate 1,+---,Missing_P_Values,Filtered_Out,0.00330804768151486,0.00673054985169975,+,0.00662,0.00563886258224023,-0.0253,0.68,1.78,1,0.0512,temporal pole superior aspect,temporal pole superior aspect <  temporal pole  <  temporal lobe  <  cerebral cortex  <  telencephalon  < gray matter,temporal pole superior aspect <  temporal pole  < temporal lobe,Not_Available,Not_Available,Not_Available,Not_Available
MANEA,1.88e-06,mannosidase endo-alpha,-+-+,++++----,---+-+,0.00442721907823745,0.00370749195563759,-,0.00741,0.000771466,-0.0253,0.68,1.99,1,0.87,lateral group of nuclei dorsal division,lateral group of nuclei dorsal division <  lateral group of nuclei  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter,lateral group of nuclei dorsal division <  lateral group of nuclei  < dorsal thalamus,Hindbrain neurons,3.67354498734173,Hindbrain neurons,3.83091357174874
HLA-DQB1,2.33e-07,"major histocompatibility complex, class II, DQ beta 1",----,--+-----,Not_Available,0.00386778154866747,0.00392823944103711,+,0.00774,0.0488337153359539,-0.0253,0.68,2.08,1,0.989,supraoptic nucleus,supraoptic nucleus <  anterior hypothalamic region  <  hypothalamus  <  diencephalon  < gray matter,supraoptic nucleus < anterior hypothalamic region,Oligodendrocytes,5.07595686578728,Oligodendrocytes,5.45495155214386
LST1,5.42e-09,leukocyte specific transcript 1,----,+-++++++,----++,0.00398980142318808,0.00424321398346648,+,0.00798,0.003058614,-0.0253,0.68,2.15,1,0.765,substantia nigra pars reticulata,substantia nigra pars reticulata <  substantia nigra  <  midbrain tegmentum  <  mesencephalon  < gray matter,substantia nigra pars reticulata < substantia nigra,Not_Available,Not_Available,Not_Available,Not_Available
MYRF,1.68e-08,myelin regulatory factor,-+--,-+++---+,---+-+,0.00505352352541114,0.00817538158606129,+,0.0101,0.006945037,-0.0253,0.68,2.72,1,0.801,corpus callosum,corpus callosum <  telencephalic commissures  <  telencephalic white matter  < white matter,corpus callosum < telencephalic commissures,Oligodendrocytes,5.5090002866212,Oligodendrocytes,6.01454099812577
HS6ST3,1.66e-08,heparan sulfate 6-O-sulfotransferase 3,++++,-+-++++-,-+---+,0.0055071964184876,0.00698047553732367,+,0.011,0.000472472,-0.0253,0.68,2.96,1,0.72,dorsal lateral geniculate nucleus,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  < dorsal thalamus,Spinal cord inhibitory neurons,3.97261952437629,Spinal cord inhibitory neurons,3.85813019687383
