gene_symbol,Howard_pvalue,gene_name,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_genome_percentile_rank,meta_meta_lower_in_MDD_genome_percentile_rank,meta_direction,meta_empirical_p,minp,Spearman_corr,Spearman_p,Corrected_meta_empirical_p,Bonferroni_meta_empirical_p,DE_Prior_Rank,brain_region,region_location,slim_region_location,Updated_Gene_Names,cns_cell_type_taxon,cns_cell_type_taxon_zscore,cell_type_taxon,cell_type_taxon_zscore
PSORS1C1,1.74e-08,psoriasis susceptibility 1 candidate 1,+---+-,Missing_P_Values,Filtered_Out,0.00245265799680584,0.90714122746977,+,0.00491,0.00337803127868115,-0.0933,0.127,1.32,1,0.0512,temporal pole superior aspect,temporal pole superior aspect <  temporal pole  <  temporal lobe  <  cerebral cortex  <  telencephalon  < gray matter,temporal pole superior aspect <  temporal pole  < temporal lobe,PSORS1C1,Not_Available,Not_Available,Not_Available,Not_Available
LST1,5.42e-09,leukocyte specific transcript 1,----+-,+-++++++++++,-----+++,0.903963319241753,0.00426898026118478,-,0.00854,0.003058614,-0.0933,0.127,2.3,1,0.765,substantia nigra pars reticulata,substantia nigra pars reticulata <  substantia nigra  <  midbrain tegmentum  <  mesencephalon  < gray matter,substantia nigra pars reticulata < substantia nigra,LST1,Not_Available,Not_Available,Not_Available,Not_Available
UBE2M,8.89e-07,ubiquitin conjugating enzyme E2 M,++-++-,-+----++++++,+----+-+,0.971739782359165,0.00434651530250795,-,0.00869,4.9052e-05,-0.0933,0.127,2.34,1,Not_Available,parolfactory gyri,parolfactory gyri <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter,parolfactory gyri < frontal lobe,UBE2M,Cholinergic and monoaminergic neurons,3.22987670847492,Peripheral sensory neurofilament neurons,3.17743122694966
MANEA,1.88e-06,mannosidase endo-alpha,-++--+,++++++------,----+-++,0.00490484145542743,0.309819529325409,+,0.00981,0.000771466,-0.0933,0.127,2.64,1,0.87,lateral group of nuclei dorsal division,lateral group of nuclei dorsal division <  lateral group of nuclei  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter,lateral group of nuclei dorsal division <  lateral group of nuclei  < dorsal thalamus,MANEA,Hindbrain neurons,3.67354498734173,Hindbrain neurons,3.83091357174874
MEGF11,1.78e-10,multiple EGF like domains 11,+++--+,+++-++++--+-,Filtered_Out,0.00905624484435707,0.956887336241382,+,0.0181,0.0156899468749612,-0.0933,0.127,4.87,1,0.84,lateral mammillary nucleus,lateral mammillary nucleus <  mammillary body  <  mammillary region  <  hypothalamus  <  diencephalon  < gray matter,lateral mammillary nucleus <  mammillary body  < mammillary region,MEGF11,Oligodendrocyte precursor cells,2.9008516052024,Oligodendrocyte precursor cells,3.17340914325478
CKB,1.76e-08,creatine kinase B,++-++-,++----++++++,-+++-++-,0.821031837745742,0.0102139928739303,-,0.0204,1.82118e-05,-0.0933,0.127,5.5,1,0.864,dorsal lateral geniculate nucleus,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  < dorsal thalamus,CKB,Subcommissural organ hypendymal cells,2.33869058684455,Peripheral sensory neurofilament neurons,2.2233114665496
C1QTNF7,2.61e-06,C1q and TNF related 7,---++-,------+++-+-,Filtered_Out,0.98973836538321,0.010806087048785,-,0.0216,0.0176287570112155,-0.0933,0.127,5.81,1,0.915,central nucleus,central nucleus <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter,central nucleus < amygdala,C1QTNF7,Vascular smooth muscle cells,5.39118336166938,Sympathetic cholinergic neurons,5.94818233010013
TMEM106B,1.22e-12,transmembrane protein 106B,--+--+,++++++------,--+-+-++,0.0131647951732088,0.22797202937031,+,0.0263,0.000216239,-0.0933,0.127,7.08,1,0.857,reticular nucleus of thalamus,reticular nucleus of thalamus <  ventral thalamus  <  thalamus  <  diencephalon  < gray matter,reticular nucleus of thalamus < ventral thalamus,TMEM106B,Cholinergic and monoaminergic neurons,3.25405600017945,Cholinergic and monoaminergic neurons,3.26841697346521
SAMD5,1.21e-08,sterile alpha motif domain containing 5,----+-,----------++,--++--+-,0.80705974337484,0.0139232259456901,-,0.0278,0.001158159,-0.0933,0.127,7.49,1,0.882,locus ceruleus,locus ceruleus <  pontine tegmentum  <  pons  <  metencephalon  < gray matter,locus ceruleus < pontine tegmentum,SAMD5,Di- and mesencephalon inhibitory neurons,2.31663627794291,Enteric neurons,3.41099224324459
ASXL3,2.06e-06,ASXL transcriptional regulator 3,--+--+,------+++--+,++-+--++,0.825503333445239,0.0164886911916433,-,0.033,0.002256491,-0.0933,0.127,8.87,1,0.787,superior rostral gyrus,superior rostral gyrus <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter,superior rostral gyrus < frontal lobe,ASXL3,Cholinergic and monoaminergic neurons,2.93661225160883,Peripheral sensory non-peptidergic neurons,3.94108342751378
KDM3A,1.76e-09,lysine demethylase 3A,--++--,+++-++----+-,Not_Available,0.0247614602455017,0.824028293677937,+,0.0495,0.005746965,-0.0933,0.127,13.3,1,0.316,globus pallidus internal segment,globus pallidus internal segment <  globus pallidus  <  basal ganglia  <  cerebral nuclei  <  telencephalon  < gray matter,globus pallidus internal segment <  globus pallidus  < basal ganglia,KDM3A,Ependymal cells,3.98128113265545,Ependymal cells,3.59907718503345
ZKSCAN8,2.01e-13,zinc finger with KRAB and SCAN domains 8,-++--+,+++-++-----+,Filtered_Out,0.0259282411447317,0.992008002766091,+,0.0519,0.01659268,-0.0933,0.127,13.9,1,0.45,globus pallidus external segment,globus pallidus external segment <  globus pallidus  <  basal ganglia  <  cerebral nuclei  <  telencephalon  < gray matter,globus pallidus external segment <  globus pallidus  < basal ganglia,ZKSCAN8,Hindbrain neurons,4.01943544922757,Hindbrain neurons,4.10962598131774
ACVR1B,5.28e-07,activin A receptor type 1B,++++-+,---+----++++,+++++---,0.0301773009315296,0.73747100192223,+,0.0604,0.0187723485858882,-0.0933,0.127,16.2,1,0.523,CA3 field,CA3 field <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter,CA3 field <  hippocampal formation  < limbic lobe,ACVR1B,Cholinergic and monoaminergic neurons,3.24965263686334,Cholinergic and monoaminergic neurons,3.23201938751616
KMT2A,1.28e-07,lysine methyltransferase 2A,--+--+,----+-+---++,++++--+-,0.0336946909666945,0.662379473958208,+,0.0674,0.001785206,-0.0933,0.127,18.1,1,0.42,VIIIB lateral hemisphere,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,KMT2A,Cholinergic and monoaminergic neurons,3.78730180389794,Cholinergic and monoaminergic neurons,3.17745070473879
CRB1,2.5e-07,crumbs cell polarity complex component 1,+-+--+,+++-++----+-,+++-+-++,0.0338623531575389,0.986681853198724,+,0.0677,0.000989607,-0.0933,0.127,18.2,1,0.623,central glial substance,central glial substance <  myelencephalon  < gray matter,central glial substance <  myelencephalon  < gray matter,CRB1,Cholinergic and monoaminergic neurons,4.97477673825537,Cholinergic and monoaminergic neurons,5.4162160540302
FAM172A,7.75e-10,family with sequence similarity 172 member A,-++--+,++-+-++-+-+-,Not_Available,0.0359870346076303,0.929519152190288,+,0.072,0.0180964473748065,-0.0933,0.127,19.4,1,0.505,VIIIB lateral hemisphere,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,FAM172A,Oligodendrocytes,2.54488343707848,Peripheral sensory non-peptidergic neurons,2.68221919989064
MR1,6.25e-08,"major histocompatibility complex, class I-related",++++++,++++-+------,---+-+++,0.0362416861715822,0.468607156842631,+,0.0725,0.03582915938807,-0.0933,0.127,19.5,1,0.814,central glial substance,central glial substance <  myelencephalon  < gray matter,central glial substance <  myelencephalon  < gray matter,MR1,Choroid epithelial cells,3.60550676538055,Choroid epithelial cells,3.9352029346417
ITPR3,1.55e-06,"inositol 1,4,5-trisphosphate receptor type 3",+++-+-,++--+-++++++,Filtered_Out,0.372115632482826,0.0364185081023659,-,0.0728,0.001833984,-0.0933,0.127,19.6,1,0.733,supraoptic nucleus,supraoptic nucleus <  anterior hypothalamic region  <  hypothalamus  <  diencephalon  < gray matter,supraoptic nucleus < anterior hypothalamic region,ITPR3,Satellite glia,3.93754857362934,Satellite glia,4.27437577594778
CAMKK2,1.88e-06,calcium/calmodulin dependent protein kinase kinase 2,++++--,-+-++-++++++,+++-----,0.0435624580629897,0.595470651313773,+,0.0871,0.002338858,-0.0933,0.127,23.4,1,0.565,IX paravermis,IX paravermis <  IX  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,IX paravermis <  IX  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,CAMKK2,Telencephalon projecting excitatory neurons,4.55248354135044,Telencephalon projecting excitatory neurons,4.56797675895
SEMA6D,4.1e-09,semaphorin 6D,--++--,-++-+-----++,+-++-++-,0.0444672305537238,0.852937078956409,+,0.0889,0.00427009,-0.0933,0.127,23.9,1,0.981,substantia nigra pars compacta,substantia nigra pars compacta <  substantia nigra  <  midbrain tegmentum  <  mesencephalon  < gray matter,substantia nigra pars compacta < substantia nigra,SEMA6D,Hindbrain neurons,2.92414767067453,Sympathetic cholinergic neurons,3.0507872490882
PLA2R1,3.98e-07,phospholipase A2 receptor 1,----++,--+--++++-++,Filtered_Out,0.985124274630125,0.0545508505567804,-,0.109,0.001639741,-0.0933,0.127,29.3,1,0.687,IV lateral hemisphere,IV lateral hemisphere <  IV  <  Anterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,IV lateral hemisphere <  IV  <  Anterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,PLA2R1,Vascular smooth muscle cells,4.20559977089751,Vascular smooth muscle cells,3.97582009590131
ASCC3,8.91e-08,activating signal cointegrator 1 complex subunit 3,+++--+,+++---------,-++-++++,0.0552204439127649,0.64548010470724,+,0.11,0.0190752447065901,-0.0933,0.127,29.7,1,0.774,dentate gyrus,dentate gyrus <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter,dentate gyrus <  hippocampal formation  < limbic lobe,ASCC3,Cholinergic and monoaminergic neurons,2.90406630195862,Enteric neurons,2.8330673764006
CDH22,1.88e-07,cadherin 22,+--++-,+---+-++++-+,++-+--++,0.784475343364445,0.0567138240382022,-,0.113,0.012128409,-0.0933,0.127,30.5,1,0.324,IV,IV <  anterior lobe of the vermis  <  vermis  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,IV <  anterior lobe of the vermis  <  vermis  < cerebellar cortex,CDH22,Cholinergic and monoaminergic neurons,4.41250955554672,Cholinergic and monoaminergic neurons,4.79293229388837
PHF2,2.32e-06,PHD finger protein 2,-++---,--+-+-++++++,+++-----,0.0578959661125122,0.72027992681901,+,0.116,0.001404682,-0.0933,0.127,31.1,1,0.125,central glial substance,central glial substance <  myelencephalon  < gray matter,central glial substance <  myelencephalon  < gray matter,PHF2,Cholinergic and monoaminergic neurons,2.84681986991091,Enteric neurons,3.35069240040798
RERE,1.43e-11,arginine-glutamic acid dipeptide repeats,++++-+,------++++++,++++-+--,0.0615919384031524,0.231315835070166,+,0.123,0.00061161,-0.0933,0.127,33.1,1,0.53,V lateral hemisphere,V lateral hemisphere <  V  <  Anterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,V lateral hemisphere <  V  <  Anterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,RERE,Cholinergic and monoaminergic neurons,4.01214474981103,Sympathetic cholinergic neurons,2.97042255583533
MYRF,1.68e-08,myelin regulatory factor,--+-+-,-+++++---+++,--+-+-++,0.272019681505662,0.0618143491036024,-,0.124,0.006945037,-0.0933,0.127,33.3,1,0.801,corpus callosum,corpus callosum <  telencephalic commissures  <  telencephalic white matter  < white matter,corpus callosum < telencephalic commissures,MYRF,Oligodendrocytes,5.5090002866212,Oligodendrocytes,6.01454099812577
ZC3H7B,2.91e-08,zinc finger CCCH-type containing 7B,++-+++,------++++-+,++-+++--,0.280483695981365,0.0619183453565327,-,0.124,0.002430993,-0.0933,0.127,33.3,1,0.183,pontine nuclei,pontine nuclei <  basal part of pons  <  pons  <  metencephalon  < gray matter,pontine nuclei < basal part of pons,ZC3H7B,Cholinergic and monoaminergic neurons,3.77444321120833,Sympathetic cholinergic neurons,2.36603288386083
ZNF536,1.62e-06,zinc finger protein 536,----+-,-+++++---+++,--+-++-+,0.556972478357761,0.064908610332014,-,0.13,0.0027198308153863,-0.0933,0.127,34.9,1,0.527,corpus callosum,corpus callosum <  telencephalic commissures  <  telencephalic white matter  < white matter,corpus callosum < telencephalic commissures,ZNF536,Telencephalon inhibitory interneurons,2.76402611732913,Telencephalon inhibitory interneurons,2.84477685813301
GPC5,1.35e-07,glypican 5,+++--+,++++-+-----+,++--+-++,0.0652763101074014,0.973185339275652,+,0.131,0.019750168,-0.0933,0.127,35.1,1,0.768,pontine nuclei,pontine nuclei <  basal part of pons  <  pons  <  metencephalon  < gray matter,pontine nuclei < basal part of pons,GPC5,Astrocytes,3.27197638308806,Peripheral sensory non-peptidergic neurons,4.29845432769986
ARHGEF25,1.9e-06,Rho guanine nucleotide exchange factor 25,++-+++,+----+++++--,Not_Available,0.784877773590684,0.0658883172888899,-,0.132,0.00242952,-0.0933,0.127,35.4,1,0.292,VI paravermis,VI paravermis <  VI  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,VI paravermis <  VI  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,ARHGEF25,Telencephalon projecting excitatory neurons,3.01383272171116,Peripheral sensory neurofilament neurons,2.86825843392875
HIST1H2BN,6.9e-17,histone cluster 1 H2B family member n,----+-,------++++++,Filtered_Out,0.890340616468652,0.0673521334083061,-,0.135,0.005129735,-0.0933,0.127,36.2,1,0.121,III paravermis,III paravermis <  III  <  Anterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,III paravermis <  III  <  Anterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,HIST1H2BN,Non-glutamatergic neuroblasts,4.20253334705021,Non-glutamatergic neuroblasts,4.23101334443968
EMILIN3,3.37e-09,elastin microfibril interfacer 3,++++++,------++++-+,-+-+--+-,0.067908012012811,0.78832793519848,+,0.136,0.02957294,-0.0933,0.127,36.5,1,0.351,cuneus striate,cuneus striate <  cuneus  <  occipital lobe  <  cerebral cortex  <  telencephalon  < gray matter,cuneus striate <  cuneus  < occipital lobe,EMILIN3,Hindbrain neurons,4.9238999417661,Peripheral sensory peptidergic neurons,3.998151794001
RABEPK,1.56e-06,Rab9 effector protein with kelch motifs,+--++-,-++---++++++,------++,0.918190702926927,0.0681133718953979,-,0.136,0.011639513,-0.0933,0.127,36.6,1,0.136,zona incerta,zona incerta <  ventral thalamus  <  thalamus  <  diencephalon  < gray matter,zona incerta <  ventral thalamus  < thalamus,RABEPK,Telencephalon inhibitory interneurons,1.92644249067401,Sympathetic cholinergic neurons,3.30391231298682
MGAT4C,1.22e-06,MGAT4 family member C,--++-+,++---+------,--++--++,0.0685275257604634,0.856845109688857,+,0.137,0.002131326,-0.0933,0.127,36.9,1,0.272,dorsal motor nucleus of the vagus,dorsal motor nucleus of the vagus <  myelencephalon  < gray matter,dorsal motor nucleus of the vagus <  myelencephalon  < gray matter,MGAT4C,Cholinergic and monoaminergic neurons,4.24420568019863,Cholinergic and monoaminergic neurons,3.66053389443231
HS6ST3,1.66e-08,heparan sulfate 6-O-sulfotransferase 3,++++-+,-+-++-+++---,-++----+,0.0713955152126804,0.635394977433176,+,0.143,0.000472472,-0.0933,0.127,38.4,1,0.72,dorsal lateral geniculate nucleus,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  < dorsal thalamus,HS6ST3,Spinal cord inhibitory neurons,3.97261952437629,Spinal cord inhibitory neurons,3.85813019687383
PPP6C,1.1e-06,protein phosphatase 6 catalytic subunit,++++-+,++++-+------,----+--+,0.0715348052504289,0.58443876011208,+,0.143,0.005052903,-0.0933,0.127,38.5,1,0.577,reticular nucleus of thalamus,reticular nucleus of thalamus <  ventral thalamus  <  thalamus  <  diencephalon  < gray matter,reticular nucleus of thalamus < ventral thalamus,PPP6C,Cholinergic and monoaminergic neurons,3.92426142099383,Sympathetic cholinergic neurons,2.94432522454954
ZNF184,3.34e-08,zinc finger protein 184,++++--,------+-+---,++-+----,0.0728157310442903,0.534636582568902,+,0.146,0.016954203,-0.0933,0.127,39.2,1,0.368,CA1 field,CA1 field <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter,CA1 field <  hippocampal formation  < limbic lobe,ZNF184,Non-glutamatergic neuroblasts,3.29333983815876,Non-glutamatergic neuroblasts,3.28351880097876
PSORS1C2,2.98e-07,psoriasis susceptibility 1 candidate 2,++-+--,Not_Available,Filtered_Out,0.0738649326945015,0.571298197581565,+,0.148,0.00882830866567363,-0.0933,0.127,39.7,1,0.622,lateral parabrachial nucleus,lateral parabrachial nucleus <  pontine tegmentum  <  pons  <  metencephalon  < gray matter,lateral parabrachial nucleus < pontine tegmentum,PSORS1C2,Vascular endothelial cells,4.61719413561084,Vascular endothelial cells,5.0468346698786
FADS1,1.25e-07,fatty acid desaturase 1,+-+---,+++-++------,--+++-++,0.0809423154559899,0.903399523537216,+,0.162,0.052192182,-0.0933,0.127,43.5,1,0.866,central glial substance,central glial substance <  myelencephalon  < gray matter,central glial substance <  myelencephalon  < gray matter,FADS1,Satellite glia,3.13385409696618,Satellite glia,2.64161538223522
HLA-B,4.33e-11,"major histocompatibility complex, class I, B",+--++-,++++++++++++,+-+-+-+-,0.670555522677828,0.0829858016881888,-,0.166,0.005617603,-0.0933,0.127,44.6,1,0.771,supraoptic nucleus,supraoptic nucleus <  anterior hypothalamic region  <  hypothalamus  <  diencephalon  < gray matter,supraoptic nucleus < anterior hypothalamic region,HLA-B,Not_Available,Not_Available,Not_Available,Not_Available
HSPA1A,8.13e-08,heat shock protein family A (Hsp70) member 1A,------,--+-++------,--+--+-+,0.0857615231587321,0.85521414065524,+,0.172,0.052021844,-0.0933,0.127,46.1,1,0.983,corpus callosum,corpus callosum <  telencephalic commissures  <  telencephalic white matter  < white matter,corpus callosum < telencephalic commissures,HSPA1A,Enteric glia,5.25706923807914,Enteric glia,5.18641512450258
ZNF638,1.83e-07,zinc finger protein 638,--+---,+++-+-+---+-,Not_Available,0.0858623407308578,0.45459055684769,+,0.172,0.001959458,-0.0933,0.127,46.2,1,0.685,VIIIB lateral hemisphere,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,ZNF638,Not_Available,Not_Available,Not_Available,Not_Available
SGCZ,9.76e-10,sarcoglycan zeta,--++-+,------++++++,Filtered_Out,0.881369222151436,0.0862482405653557,-,0.172,0.003670155,-0.0933,0.127,46.4,1,0.271,ventromedial hypothalamic nucleus,ventromedial hypothalamic nucleus <  tuberal region  <  hypothalamus  <  diencephalon  < gray matter,ventromedial hypothalamic nucleus < tuberal region,SGCZ,Cholinergic and monoaminergic neurons,3.49288894731675,Enteric neurons,2.99594245710222
VRK2,9.97e-09,VRK serine/threonine kinase 2,----+-,++++++---+++,--+-++-+,0.559621450147362,0.0884046076264115,-,0.177,0.027645506,-0.0933,0.127,47.6,1,0.546,corpus callosum,corpus callosum <  telencephalic commissures  <  telencephalic white matter  < white matter,corpus callosum < telencephalic commissures,VRK2,Microglia,3.92241044956466,Microglia,4.24111531018962
AREL1,3.04e-08,apoptosis resistant E3 ubiquitin protein ligase 1,++++-+,----++----+-,-++++-+-,0.092135573880564,0.955451093494319,+,0.184,0.023507959,-0.0933,0.127,49.6,1,0.305,V,V <  anterior lobe of the vermis  <  vermis  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,V <  anterior lobe of the vermis  <  vermis  < cerebellar cortex,AREL1,Telencephalon projecting inhibitory neurons,3.74135869975321,Sympathetic noradrenergic neurons,3.69940043835784
EXT1,1.2e-06,exostosin glycosyltransferase 1,--++-+,----+-+++---,+++++--+,0.461985815147642,0.0931000297385485,-,0.186,0.010276231,-0.0933,0.127,50.1,1,0.81,CA1 field,CA1 field <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter,CA1 field <  hippocampal formation  < limbic lobe,EXT1,Ependymal cells,3.73397788580322,Ependymal cells,3.69044701771994
DENND1A,1.54e-14,DENN domain containing 1A,++-+-+,------++++++,-+-+--+-,0.652181272954023,0.0937622035270832,-,0.188,0.007451938,-0.0933,0.127,50.4,1,0.599,basolateral nucleus,basolateral nucleus <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter,basolateral nucleus < amygdala,DENND1A,Cholinergic and monoaminergic neurons,2.87396729572261,Cholinergic and monoaminergic neurons,2.84876785804461
CCDC36,6.57e-07,coiled-coil domain containing 36,---+++,+++-+--+-++-,Filtered_Out,0.819269606063014,0.0939437940846122,-,0.188,0.043414667,-0.0933,0.127,50.5,1,0.054,globose nucleus,globose nucleus <  cerebellar nuclei  <  cerebellum  <  metencephalon  < gray matter,globose nucleus < cerebellar nuclei,CCDC36,Spinal cord inhibitory neurons,2.74744604977119,Spinal cord inhibitory neurons,2.89073800123078
BAD,1.35e-06,BCL2 associated agonist of cell death,---++-,+++++--+++-+,--------,0.362968969989131,0.102241802040967,-,0.204,0.001132037,-0.0933,0.127,55,1,0.264,superior rostral gyrus,superior rostral gyrus <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter,superior rostral gyrus < frontal lobe,BAD,Spinal cord inhibitory neurons,2.00196292077959,Sympathetic cholinergic neurons,4.23641507854015
RBFOX1,6.09e-17,RNA binding fox-1 homolog 1,++++-+,---++++++++-,+++---+-,0.10392280714375,0.817060268061472,+,0.208,0.027298127,-0.0933,0.127,55.9,1,0.717,dentate gyrus,dentate gyrus <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter,dentate gyrus <  hippocampal formation  < limbic lobe,RBFOX1,Telencephalon projecting excitatory neurons,3.00782697103188,Peripheral sensory non-peptidergic neurons,3.48888258302817
