gene_symbol,Howard_pvalue,gene_name,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_genome_percentile_rank,meta_meta_lower_in_MDD_genome_percentile_rank,meta_direction,meta_empirical_p,minp,Spearman_corr,Spearman_p,Corrected_meta_empirical_p,Bonferroni_meta_empirical_p,DE_Prior_Rank,brain_region,region_location,slim_region_location,cns_cell_type_taxon,cns_cell_type_taxon_zscore,cell_type_taxon,cell_type_taxon_zscore
ZNF184,3.34e-08,zinc finger protein 184,+-,----,--,0.999967907680934,0.000289388602090557,-,0.000579,0.029233708,0.0234,0.702,0.156,0.156,0.368,CA1 field,CA1 field <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter,CA1 field <  hippocampal formation  < limbic lobe,Non-glutamatergic neuroblasts,3.29333983815876,Non-glutamatergic neuroblasts,3.28351880097876
HLA-B,4.33e-11,"major histocompatibility complex, class I, B",-+,++++,++,0.00102520179225641,0.99996936288164,+,0.00205,0.00884715670350293,0.0234,0.702,0.552,0.552,0.771,supraoptic nucleus,supraoptic nucleus <  anterior hypothalamic region  <  hypothalamus  <  diencephalon  < gray matter,supraoptic nucleus < anterior hypothalamic region,Not_Available,Not_Available,Not_Available,Not_Available
ELAVL2,9e-08,ELAV like RNA binding protein 2,-+,-+--,--,0.921863891474341,0.00210474586380356,-,0.00421,0.000581273,0.0234,0.702,1.13,1,0.926,substantia nigra pars compacta,substantia nigra pars compacta <  substantia nigra  <  midbrain tegmentum  <  mesencephalon  < gray matter,substantia nigra pars compacta < substantia nigra,Cholinergic and monoaminergic neurons,4.4912440824609,Cholinergic and monoaminergic neurons,3.95611796344017
BTN1A1,7.4e-09,butyrophilin subfamily 1 member A1,--,Not_Available,Filtered_Out,0.997262149212868,0.00279488934519735,-,0.00559,0.0173104019194355,0.0234,0.702,1.5,1,0.0995,CA2 field,CA2 field <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter,CA2 field <  hippocampal formation  < limbic lobe,Di- and mesencephalon inhibitory neurons,3.97528722444647,Di- and mesencephalon inhibitory neurons,4.33940339359627
LRFN5,2.04e-12,leucine rich repeat and fibronectin type III domain containing 5,+-,----,--,0.997768583378555,0.00351843715313444,-,0.00704,0.006606209,0.0234,0.702,1.89,1,0.77,dentate gyrus,dentate gyrus <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter,dentate gyrus <  hippocampal formation  < limbic lobe,Di- and mesencephalon excitatory neurons,2.2127027690198,Peripheral sensory non-peptidergic neurons,2.43755385014259
BAG5,9.18e-07,BCL2 associated athanogene 5,+-,++--,--,0.999291137882027,0.0062604941207745,-,0.0125,0.019715352,0.0234,0.702,3.37,1,0.595,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available
VPS41,1.94e-06,VPS41 subunit of HOPS complex,+-,-+--,--,0.983201844361314,0.00759598802657452,-,0.0152,0.002224813,0.0234,0.702,4.09,1,0.376,fusiform gyrus lateral bank of gyrus,fusiform gyrus lateral bank of gyrus <  fusiform gyrus  <  temporal lobe  <  cerebral cortex  <  telencephalon  < gray matter,fusiform gyrus lateral bank of gyrus <  fusiform gyrus  < temporal lobe,Cholinergic and monoaminergic neurons,3.2294752200861,Peripheral sensory neurofilament neurons,3.86058381099991
BAZ2B,1.32e-07,bromodomain adjacent to zinc finger domain 2B,-+,++++,+-,0.0102930293213164,0.96447730111196,+,0.0206,0.008912763,0.0234,0.702,5.54,1,0.588,corpus callosum,corpus callosum <  telencephalic commissures  <  telencephalic white matter  < white matter,corpus callosum < telencephalic commissures,Cholinergic and monoaminergic neurons,3.00542632558325,Enteric neurons,3.13509874745176
NEGR1,3.55e-15,neuronal growth regulator 1,+-,-+--,--,0.978648485831969,0.0135811786628658,-,0.0272,0.020836517,0.0234,0.702,7.31,1,0.974,lingual gyrus striate,lingual gyrus striate <  lingual gyrus  <  occipital lobe  <  cerebral cortex  <  telencephalon  < gray matter,lingual gyrus striate <  lingual gyrus  < occipital lobe,Cholinergic and monoaminergic neurons,3.55482215650572,Cholinergic and monoaminergic neurons,3.43387497988335
BEND4,1.3e-07,BEN domain containing 4,--,----,Not_Available,0.994004667937054,0.0146152301894726,-,0.0292,0.042191113,0.0234,0.702,7.86,1,0.855,substantia nigra pars compacta,substantia nigra pars compacta <  substantia nigra  <  midbrain tegmentum  <  mesencephalon  < gray matter,substantia nigra pars compacta < substantia nigra,Cholinergic and monoaminergic neurons,4.22990046520913,Cholinergic and monoaminergic neurons,3.2158369602427
