gene_symbol,Howard_pvalue,gene_name.x,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,signed_log_p,minp,min_p_study,Corrected_p,Bonferroni_meta_p,Spearman_corr,Spearman_p,DE_Prior_Rank,gene_name.y,brain_region,region_location,slim_region_location,cns_cell_type_taxon,cns_cell_type_taxon_zscore,cell_type_taxon,cell_type_taxon_zscore
SAMD5,1.2098e-08,sterile alpha motif domain containing 5,----,--------,--+---,0.999904438646828,2.55916892508925e-05,-,5.12e-05,4.29087105068299,0.001158159,Labonte,0.0138,0.0138,-0.0416,0.496,0.882,sterile alpha motif domain containing 5,locus ceruleus,locus ceruleus <  pontine tegmentum  <  pons  <  metencephalon  < gray matter,locus ceruleus < pontine tegmentum,Di- and mesencephalon inhibitory neurons,2.31663627794291,Enteric neurons,3.41099224324459
ZC3H7B,2.9108e-08,zinc finger CCCH-type containing 7B,+-++,----++++,+++++-,2.81798490661413e-05,0.914020709012773,+,5.64e-05,4.24903134167757,0.002430993,Ding,0.0152,0.0152,-0.0416,0.496,0.183,zinc finger CCCH-type containing 7B,pontine nuclei,pontine nuclei <  basal part of pons  <  pons  <  metencephalon  < gray matter,pontine nuclei < basal part of pons,Cholinergic and monoaminergic neurons,3.77444321120833,Sympathetic cholinergic neurons,2.36603288386083
SPRY2,8.2557e-07,sprouty RTK signaling antagonist 2,+---,--------,++-+--,0.994233101642284,3.13873405945296e-05,-,6.28e-05,4.20221548424123,0.00653533,Labonte,0.0169,0.0169,-0.0416,0.496,0.938,sprouty RTK signaling antagonist 2,IX paravermis,IX paravermis <  IX  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,IX paravermis <  IX  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Enteric glia,4.11970794127568,Enteric neurons,3.47774007250763
UBE2M,8.888e-07,ubiquitin conjugating enzyme E2 M,+-+-,-+--++++,+---++,3.75566527758665e-05,0.637534392185217,+,7.51e-05,4.12428312536783,4.9052e-05,Labonte,0.0202,0.0202,-0.0416,0.496,Not_Available,ubiquitin conjugating enzyme E2 M,parolfactory gyri,parolfactory gyri <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter,parolfactory gyri < frontal lobe,Cholinergic and monoaminergic neurons,3.22987670847492,Peripheral sensory neurofilament neurons,3.17743122694966
CKB,1.7557e-08,creatine kinase B,+-+-,++--++++,-++-+-,0.00010791061542871,0.842743694066373,+,0.000216,3.66590583495112,1.82118e-05,Labonte,0.0581,0.0581,-0.0416,0.496,0.864,creatine kinase B,dorsal lateral geniculate nucleus,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  < dorsal thalamus,Subcommissural organ hypendymal cells,2.33869058684455,Peripheral sensory neurofilament neurons,2.2233114665496
ITPR3,1.551e-06,"inositol 1,4,5-trisphosphate receptor type 3",++--,++--++++,Filtered_Out,0.000118998481426464,0.888287794690993,+,0.000238,3.62342858506378,0.001833984,Labonte,0.064,0.064,-0.0416,0.496,0.733,"inositol 1,4,5-trisphosphate receptor type 3",supraoptic nucleus,supraoptic nucleus <  anterior hypothalamic region  <  hypothalamus  <  diencephalon  < gray matter,supraoptic nucleus < anterior hypothalamic region,Satellite glia,3.93754857362934,Satellite glia,4.27437577594778
TRAF3,3.1737e-07,TNF receptor associated factor 3,+-++,-----++-,+-----,0.998113431883921,0.000732541451092475,-,0.00147,2.8341377999223,0.011555865,Labonte,0.394,0.394,-0.0416,0.496,0.428,TNF receptor associated factor 3,central glial substance,central glial substance <  myelencephalon  < gray matter,central glial substance <  myelencephalon  < gray matter,Hindbrain neurons,3.26811898489611,Hindbrain neurons,2.9800683009023
ZNF638,1.8282e-07,zinc finger protein 638,-+--,+++-+---,Not_Available,0.971553358658338,0.000922497882251421,-,0.00184,2.73400462649958,0.001959458,Labonte,0.496,0.496,-0.0416,0.496,0.685,zinc finger protein 638,VIIIB lateral hemisphere,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Not_Available,Not_Available,Not_Available,Not_Available
MANEA,1.8836e-06,mannosidase endo-alpha,-+-+,++++----,---+-+,0.0099641011840454,0.00135793603820589,-,0.00272,2.56609069014149,0.000771466,Labonte,0.731,0.731,-0.0416,0.496,0.87,mannosidase endo-alpha,lateral group of nuclei dorsal division,lateral group of nuclei dorsal division <  lateral group of nuclei  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter,lateral group of nuclei dorsal division <  lateral group of nuclei  < dorsal thalamus,Hindbrain neurons,3.67354498734173,Hindbrain neurons,3.83091357174874
HLA-DQB1,2.3306e-07,"major histocompatibility complex, class II, DQ beta 1",----,--+-----,Not_Available,0.999947746473877,0.00136121039555287,-,0.00272,2.56504474719611,0.0488337153359539,Ramaker,0.732,0.732,-0.0416,0.496,0.989,"major histocompatibility complex, class II, DQ beta 1",supraoptic nucleus,supraoptic nucleus <  anterior hypothalamic region  <  hypothalamus  <  diencephalon  < gray matter,supraoptic nucleus < anterior hypothalamic region,Oligodendrocytes,5.07595686578728,Oligodendrocytes,5.45495155214386
