gene_symbol,Howard_pvalue,gene_name,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,signed_log_meta,minp,min_p_study,Corrected_p,Bonferroni_meta_p,Spearman_corr,Spearman_p,DE_Prior_Rank,brain_region,region_location,slim_region_location,cns_cell_type_taxon,cns_cell_type_taxon_zscore,cell_type_taxon,cell_type_taxon_zscore
SPRY2,8.26e-07,sprouty RTK signaling antagonist 2,+-----,-----------+,++--+---,0.999679848881526,6.44514268298332e-06,-,1.29e-05,4.889737468101,0.00653533,Labonte,0.00347,0.00347,-0.0608,0.321,0.938,IX paravermis,IX paravermis <  IX  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,IX paravermis <  IX  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Enteric glia,4.11970794127568,Enteric neurons,3.47774007250763
ITPR3,1.55e-06,"inositol 1,4,5-trisphosphate receptor type 3",+++-+-,++--+-++++++,Filtered_Out,2.98805258287186e-05,0.955945811616763,+,5.98e-05,4.22358176853866,0.001833984,Labonte,0.0161,0.0161,-0.0608,0.321,0.733,supraoptic nucleus,supraoptic nucleus <  anterior hypothalamic region  <  hypothalamus  <  diencephalon  < gray matter,supraoptic nucleus < anterior hypothalamic region,Satellite glia,3.93754857362934,Satellite glia,4.27437577594778
HLA-B,4.33e-11,"major histocompatibility complex, class I, B",+--++-,++++++++++++,+-+-+-+-,0.000166815204564332,0.358885460525255,+,0.000334,3.47673437195846,0.005617603,Ding,0.0897,0.0897,-0.0608,0.321,0.771,supraoptic nucleus,supraoptic nucleus <  anterior hypothalamic region  <  hypothalamus  <  diencephalon  < gray matter,supraoptic nucleus < anterior hypothalamic region,Not_Available,Not_Available,Not_Available,Not_Available
ZNF184,3.34e-08,zinc finger protein 184,++++--,------+-+---,++-+----,0.933806950129506,0.000228828143365079,-,0.000458,3.33946056744708,0.016954203,Labonte,0.123,0.123,-0.0608,0.321,0.368,CA1 field,CA1 field <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter,CA1 field <  hippocampal formation  < limbic lobe,Non-glutamatergic neuroblasts,3.29333983815876,Non-glutamatergic neuroblasts,3.28351880097876
CKB,1.76e-08,creatine kinase B,++-++-,++----++++++,-+++-++-,0.000235321308575259,0.931805070005295,+,0.000471,3.32730874958817,1.82118e-05,Labonte,0.127,0.127,-0.0608,0.321,0.864,dorsal lateral geniculate nucleus,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  < dorsal thalamus,Subcommissural organ hypendymal cells,2.33869058684455,Peripheral sensory neurofilament neurons,2.2233114665496
UBE2M,8.89e-07,ubiquitin conjugating enzyme E2 M,++-++-,-+----++++++,+----+-+,0.00043640049262958,0.600448798269431,+,0.000873,3.05908477216722,4.9052e-05,Labonte,0.235,0.235,-0.0608,0.321,Not_Available,parolfactory gyri,parolfactory gyri <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter,parolfactory gyri < frontal lobe,Cholinergic and monoaminergic neurons,3.22987670847492,Peripheral sensory neurofilament neurons,3.17743122694966
ZC3H7B,2.91e-08,zinc finger CCCH-type containing 7B,++-+++,------++++-+,++-+++--,0.000488600400085176,0.710043759449607,+,0.000977,3.0100161860811,0.002430993,Ding,0.263,0.263,-0.0608,0.321,0.183,pontine nuclei,pontine nuclei <  basal part of pons  <  pons  <  metencephalon  < gray matter,pontine nuclei < basal part of pons,Cholinergic and monoaminergic neurons,3.77444321120833,Sympathetic cholinergic neurons,2.36603288386083
TRAF3,3.17e-07,TNF receptor associated factor 3,+--+++,-------++---,+-+-----,0.997634402635258,0.000533587444323908,-,0.00107,2.97176440255233,0.011555865,Labonte,0.287,0.287,-0.0608,0.321,0.428,central glial substance,central glial substance <  myelencephalon  < gray matter,central glial substance <  myelencephalon  < gray matter,Hindbrain neurons,3.26811898489611,Hindbrain neurons,2.9800683009023
SOX5,3.79e-09,SRY-box 5,+-+--+,-----------+,Filtered_Out,0.99742626802172,0.000656314683496821,-,0.00131,2.88185788365321,0.040092956,Labonte,0.353,0.353,-0.0608,0.321,0.654,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available
PCDH9,3.53e-10,protocadherin 9,--+--+,-++++------+,-+++++++,0.00073678257321273,0.147061358715111,+,0.00147,2.83163065919806,0.004988764,Ding,0.396,0.396,-0.0608,0.321,0.94,corpus callosum,corpus callosum <  telencephalic commissures  <  telencephalic white matter  < white matter,corpus callosum < telencephalic commissures,Oligodendrocytes,3.70140632202485,Oligodendrocytes,3.84835815637682
