gene_symbol,Howard_pvalue,gene_name,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,signed_log_meta,minp,min_p_study,Corrected_p,Bonferroni_meta_p,Spearman_corr,Spearman_p,DE_Prior_Rank,brain_region,region_location,slim_region_location,cns_cell_type_taxon,cns_cell_type_taxon_zscore,cell_type_taxon,cell_type_taxon_zscore
UBE2M,8.89e-07,ubiquitin conjugating enzyme E2 M,++-,++++++,-+-+,1.42686088302805e-06,0.903183667575287,+,2.85e-06,5.54458837227147,4.9052e-05,Labonte,0.000768,0.000768,0.029,0.636,Not_Available,parolfactory gyri,parolfactory gyri <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter,parolfactory gyri < frontal lobe,Cholinergic and monoaminergic neurons,3.22987670847492,Peripheral sensory neurofilament neurons,3.17743122694966
CKB,1.76e-08,creatine kinase B,++-,++++++,-++-,1.47065467058162e-06,0.910718654228104,+,2.94e-06,5.53145929779985,1.82118e-05,Labonte,0.000791,0.000791,0.029,0.636,0.864,dorsal lateral geniculate nucleus,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  < dorsal thalamus,Subcommissural organ hypendymal cells,2.33869058684455,Peripheral sensory neurofilament neurons,2.2233114665496
ITPR3,1.55e-06,"inositol 1,4,5-trisphosphate receptor type 3",-+-,++++++,Filtered_Out,1.97539089891452e-06,0.910416535225624,+,3.95e-06,5.40331695579455,0.001833984,Labonte,0.00106,0.00106,0.029,0.636,0.733,supraoptic nucleus,supraoptic nucleus <  anterior hypothalamic region  <  hypothalamus  <  diencephalon  < gray matter,supraoptic nucleus < anterior hypothalamic region,Satellite glia,3.93754857362934,Satellite glia,4.27437577594778
HSPA1A,8.13e-08,heat shock protein family A (Hsp70) member 1A,---,------,-+-+,0.995584668995119,4.63530708976957e-05,-,9.27e-05,4.03289149282973,0.052021844,Labonte,0.0249,0.0249,0.029,0.636,0.983,corpus callosum,corpus callosum <  telencephalic commissures  <  telencephalic white matter  < white matter,corpus callosum < telencephalic commissures,Enteric glia,5.25706923807914,Enteric glia,5.18641512450258
KDM3A,1.76e-09,lysine demethylase 3A,+--,----+-,Not_Available,0.977688655695773,0.00010054093698641,-,0.000201,3.69662707603864,0.005746965,Labonte,0.0541,0.0541,0.029,0.636,0.316,globus pallidus internal segment,globus pallidus internal segment <  globus pallidus  <  basal ganglia  <  cerebral nuclei  <  telencephalon  < gray matter,globus pallidus internal segment <  globus pallidus  < basal ganglia,Ependymal cells,3.98128113265545,Ependymal cells,3.59907718503345
ARHGEF25,1.9e-06,Rho guanine nucleotide exchange factor 25,+++,++++--,Not_Available,0.000180458603867136,0.994374856673628,+,0.000361,3.44259241124644,0.00242952,Labonte,0.0971,0.0971,0.029,0.636,0.292,VI paravermis,VI paravermis <  VI  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,VI paravermis <  VI  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Telencephalon projecting excitatory neurons,3.01383272171116,Peripheral sensory neurofilament neurons,2.86825843392875
ZC3H7B,2.91e-08,zinc finger CCCH-type containing 7B,+++,++++-+,++--,0.000331968412569715,0.890059062485537,+,0.000664,3.17787324261785,0.002809492,Labonte,0.179,0.179,0.029,0.636,0.183,pontine nuclei,pontine nuclei <  basal part of pons  <  pons  <  metencephalon  < gray matter,pontine nuclei < basal part of pons,Cholinergic and monoaminergic neurons,3.77444321120833,Sympathetic cholinergic neurons,2.36603288386083
MGAT4C,1.22e-06,MGAT4 family member C,+-+,------,--++,0.818877293400357,0.000431470159055846,-,0.000863,3.06401923952355,0.002131326,Labonte,0.232,0.232,0.029,0.636,0.272,dorsal motor nucleus of the vagus,dorsal motor nucleus of the vagus <  myelencephalon  < gray matter,dorsal motor nucleus of the vagus <  myelencephalon  < gray matter,Cholinergic and monoaminergic neurons,4.24420568019863,Cholinergic and monoaminergic neurons,3.66053389443231
BAG5,9.18e-07,BCL2 associated athanogene 5,+--,------,-+--,0.970879444617113,0.000714583926882977,-,0.00143,2.84491676093382,0.019715352,Labonte,0.384,0.384,0.029,0.636,0.595,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available
ZNF638,1.83e-07,zinc finger protein 638,---,+---+-,Not_Available,0.992814399028596,0.000878136571784726,-,0.00176,2.75540793972834,0.001959458,Labonte,0.472,0.472,0.029,0.636,0.685,VIIIB lateral hemisphere,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Not_Available,Not_Available,Not_Available,Not_Available
