gene_symbol,Howard_pvalue,gene_name,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,signed_log_meta,minp,min_p_study,Corrected_p,Bonferroni_meta_p,Spearman_corr,Spearman_p,DE_Prior_Rank,brain_region,region_location,slim_region_location,cns_cell_type_taxon,cns_cell_type_taxon_zscore,cell_type_taxon,cell_type_taxon_zscore
MANEA,1.88e-06,mannosidase endo-alpha,-+-+,++++----,---+-+,1.65546004437707e-06,0.037751687315786,+,3.31e-06,5.48005130110596,0.000771466,Labonte,0.000891,0.000891,-0.114,0.0627,0.87,lateral group of nuclei dorsal division,lateral group of nuclei dorsal division <  lateral group of nuclei  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter,lateral group of nuclei dorsal division <  lateral group of nuclei  < dorsal thalamus,Hindbrain neurons,3.67354498734173,Hindbrain neurons,3.83091357174874
UBE2M,8.89e-07,ubiquitin conjugating enzyme E2 M,+-+-,-+--++++,+---++,0.953061363056755,1.90191598474834e-06,-,3.8e-06,5.41977867583876,4.9052e-05,Labonte,0.00102,0.00102,-0.114,0.0627,Not_Available,parolfactory gyri,parolfactory gyri <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter,parolfactory gyri < frontal lobe,Cholinergic and monoaminergic neurons,3.22987670847492,Peripheral sensory neurofilament neurons,3.17743122694966
TMEM106B,1.22e-12,transmembrane protein 106B,-+-+,++++----,---+-+,5.79724957710377e-05,0.0105554722400232,+,0.000116,3.9357480067726,0.000216239,Labonte,0.0312,0.0312,-0.114,0.0627,0.857,reticular nucleus of thalamus,reticular nucleus of thalamus <  ventral thalamus  <  thalamus  <  diencephalon  < gray matter,reticular nucleus of thalamus < ventral thalamus,Cholinergic and monoaminergic neurons,3.25405600017945,Cholinergic and monoaminergic neurons,3.26841697346521
CKB,1.76e-08,creatine kinase B,+-+-,++--++++,-++-+-,0.527533412700556,8.76179208141118e-05,-,0.000175,3.75637706124223,1.82118e-05,Labonte,0.0471,0.0471,-0.114,0.0627,0.864,dorsal lateral geniculate nucleus,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  < dorsal thalamus,Subcommissural organ hypendymal cells,2.33869058684455,Peripheral sensory neurofilament neurons,2.2233114665496
ASXL3,2.06e-06,ASXL transcriptional regulator 3,-+-+,----+++-,+++--+,0.292124043838135,9.29222035961702e-05,-,0.000186,3.73085050404392,0.002256491,Labonte,0.05,0.05,-0.114,0.0627,0.787,superior rostral gyrus,superior rostral gyrus <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter,superior rostral gyrus < frontal lobe,Cholinergic and monoaminergic neurons,2.93661225160883,Peripheral sensory non-peptidergic neurons,3.94108342751378
EXT1,1.2e-06,exostosin glycosyltransferase 1,-+++,----+++-,++++-+,0.324926576737177,0.000151191975704963,-,0.000302,3.51944126210954,0.010276231,Labonte,0.0813,0.0813,-0.114,0.0627,0.81,CA1 field,CA1 field <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter,CA1 field <  hippocampal formation  < limbic lobe,Ependymal cells,3.73397788580322,Ependymal cells,3.69044701771994
PSORS1C1,1.74e-08,psoriasis susceptibility 1 candidate 1,+---,Missing_P_Values,Filtered_Out,0.000233005892605043,0.980482033611947,+,0.000466,3.33160310007612,0.00337803127868115,Ramaker,0.125,0.125,-0.114,0.0627,0.0512,temporal pole superior aspect,temporal pole superior aspect <  temporal pole  <  temporal lobe  <  cerebral cortex  <  telencephalon  < gray matter,temporal pole superior aspect <  temporal pole  < temporal lobe,Not_Available,Not_Available,Not_Available,Not_Available
ARHGEF25,1.9e-06,Rho guanine nucleotide exchange factor 25,+-++,+---++++,Not_Available,0.857210873477347,0.000409361630568241,-,0.000819,3.0868628704878,0.00242952,Labonte,0.22,0.22,-0.114,0.0627,0.292,VI paravermis,VI paravermis <  VI  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,VI paravermis <  VI  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Telencephalon projecting excitatory neurons,3.01383272171116,Peripheral sensory neurofilament neurons,2.86825843392875
ITPR3,1.55e-06,"inositol 1,4,5-trisphosphate receptor type 3",++--,++--++++,Filtered_Out,0.453796265142892,0.000430754866904044,-,0.000862,3.06473981129168,0.001833984,Labonte,0.232,0.232,-0.114,0.0627,0.733,supraoptic nucleus,supraoptic nucleus <  anterior hypothalamic region  <  hypothalamus  <  diencephalon  < gray matter,supraoptic nucleus < anterior hypothalamic region,Satellite glia,3.93754857362934,Satellite glia,4.27437577594778
KMT2A,1.28e-07,lysine methyltransferase 2A,-+-+,----+---,+++---,0.000525056680034088,0.546649115415953,+,0.00105,2.97876381617321,0.001785206,Ding,0.282,0.282,-0.114,0.0627,0.42,VIIIB lateral hemisphere,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Cholinergic and monoaminergic neurons,3.78730180389794,Cholinergic and monoaminergic neurons,3.17745070473879
KDM3A,1.76e-09,lysine demethylase 3A,-++-,+++-----,Not_Available,0.000771742858575864,0.735992957357181,+,0.00154,2.81149738496445,0.005746965,Labonte,0.415,0.415,-0.114,0.0627,0.316,globus pallidus internal segment,globus pallidus internal segment <  globus pallidus  <  basal ganglia  <  cerebral nuclei  <  telencephalon  < gray matter,globus pallidus internal segment <  globus pallidus  < basal ganglia,Ependymal cells,3.98128113265545,Ependymal cells,3.59907718503345
LST1,5.42e-09,leukocyte specific transcript 1,----,+-++++++,----++,0.677639597349466,0.00101746863703139,-,0.00203,2.69144897314552,0.003058614,Ding,0.547,0.547,-0.114,0.0627,0.765,substantia nigra pars reticulata,substantia nigra pars reticulata <  substantia nigra  <  midbrain tegmentum  <  mesencephalon  < gray matter,substantia nigra pars reticulata < substantia nigra,Not_Available,Not_Available,Not_Available,Not_Available
DENND1A,1.54e-14,DENN domain containing 1A,+-++,----++++,-++---,0.275625666779975,0.00103934436440108,-,0.00208,2.68221053879962,0.007451938,Labonte,0.559,0.559,-0.114,0.0627,0.599,basolateral nucleus,basolateral nucleus <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter,basolateral nucleus < amygdala,Cholinergic and monoaminergic neurons,2.87396729572261,Cholinergic and monoaminergic neurons,2.84876785804461
