gene_symbol,Howard_pvalue,gene_name,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,signed_log_meta,minp,min_p_study,Corrected_p,Bonferroni_meta_p,Spearman_corr,Spearman_p,DE_Prior_Rank,brain_region,region_location,slim_region_location,cns_cell_type_taxon,cns_cell_type_taxon_zscore,cell_type_taxon,cell_type_taxon_zscore
ZNF184,3.34e-08,zinc finger protein 184,+-,----,--,0.999957737587458,8.49536666298079e-05,-,0.00017,3.7697878764255,0.029233708,Ding,0.0457,0.0457,-0.00264,0.966,0.368,CA1 field,CA1 field <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter,CA1 field <  hippocampal formation  < limbic lobe,Non-glutamatergic neuroblasts,3.29333983815876,Non-glutamatergic neuroblasts,3.28351880097876
ELAVL2,9e-08,ELAV like RNA binding protein 2,-+,-+--,--,0.910448197264438,0.000514055426119077,-,0.00103,2.98796005662494,0.000581273,Ding,0.277,0.277,-0.00264,0.966,0.926,substantia nigra pars compacta,substantia nigra pars compacta <  substantia nigra  <  midbrain tegmentum  <  mesencephalon  < gray matter,substantia nigra pars compacta < substantia nigra,Cholinergic and monoaminergic neurons,4.4912440824609,Cholinergic and monoaminergic neurons,3.95611796344017
HLA-B,4.33e-11,"major histocompatibility complex, class I, B",-+,++++,++,0.00071146331687588,0.999996328631425,+,0.00142,2.84681749160804,0.00884715670350293,Ramaker,0.383,0.383,-0.00264,0.966,0.771,supraoptic nucleus,supraoptic nucleus <  anterior hypothalamic region  <  hypothalamus  <  diencephalon  < gray matter,supraoptic nucleus < anterior hypothalamic region,Not_Available,Not_Available,Not_Available,Not_Available
LRFN5,2.04e-12,leucine rich repeat and fibronectin type III domain containing 5,+-,----,--,0.99880612241839,0.00172127411034686,-,0.00344,2.46311996774946,0.006606209,Labonte,0.926,0.926,-0.00264,0.966,0.77,dentate gyrus,dentate gyrus <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter,dentate gyrus <  hippocampal formation  < limbic lobe,Di- and mesencephalon excitatory neurons,2.2127027690198,Peripheral sensory non-peptidergic neurons,2.43755385014259
VPS41,1.94e-06,VPS41 subunit of HOPS complex,+-,-+--,--,0.9788530258384,0.00196714381802529,-,0.00393,2.40513389195531,0.002224813,Ding,1.06,1,-0.00264,0.966,0.376,fusiform gyrus lateral bank of gyrus,fusiform gyrus lateral bank of gyrus <  fusiform gyrus  <  temporal lobe  <  cerebral cortex  <  telencephalon  < gray matter,fusiform gyrus lateral bank of gyrus <  fusiform gyrus  < temporal lobe,Cholinergic and monoaminergic neurons,3.2294752200861,Peripheral sensory neurofilament neurons,3.86058381099991
BAG5,9.18e-07,BCL2 associated athanogene 5,+-,++--,--,0.998989419857519,0.00324164829953053,-,0.00648,2.18820410975772,0.019715352,Labonte,1.74,1,-0.00264,0.966,0.595,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available
LTBP3,8.14e-07,latent transforming growth factor beta binding protein 3,-+,+-++,++,0.00458703533505089,0.963402972292712,+,0.00917,2.03743791871493,0.000514888,Ding,2.47,1,-0.00264,0.966,0.827,central glial substance,central glial substance <  myelencephalon  < gray matter,central glial substance <  myelencephalon  < gray matter,Choroid epithelial cells,4.66919716502908,Choroid epithelial cells,4.40627315983146
BAZ2B,1.32e-07,bromodomain adjacent to zinc finger domain 2B,-+,++++,+-,0.00494384449445315,0.949133097260437,+,0.00989,2.00490520250264,0.008912763,Labonte,2.66,1,-0.00264,0.966,0.588,corpus callosum,corpus callosum <  telencephalic commissures  <  telencephalic white matter  < white matter,corpus callosum < telencephalic commissures,Cholinergic and monoaminergic neurons,3.00542632558325,Enteric neurons,3.13509874745176
NEGR1,3.55e-15,neuronal growth regulator 1,+-,-+--,--,0.979534719484539,0.0061762387737017,-,0.0124,1.90824592683726,0.020836517,Ding,3.32,1,-0.00264,0.966,0.974,lingual gyrus striate,lingual gyrus striate <  lingual gyrus  <  occipital lobe  <  cerebral cortex  <  telencephalon  < gray matter,lingual gyrus striate <  lingual gyrus  < occipital lobe,Cholinergic and monoaminergic neurons,3.55482215650572,Cholinergic and monoaminergic neurons,3.43387497988335
POGZ,3.16e-07,pogo transposable element derived with ZNF domain,--,+-++,+-,0.0081983680664958,0.410094854821828,+,0.0164,1.78524259222675,0.000341011,Ding,4.41,1,-0.00264,0.966,0.0413,corpus callosum,corpus callosum <  telencephalic commissures  <  telencephalic white matter  < white matter,corpus callosum < telencephalic commissures,Cholinergic and monoaminergic neurons,2.69090360960431,Enteric neurons,2.55794199138711
