gene_symbol,Howard_pvalue,gene_name,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,minp,Corrected_p,Bonferroni_meta_p,Spearman_corr,Spearman_p
CKB,1.7557e-8,creatine kinase B,++,+-++,++,2.8957071373169604e-4,0.9874990949370057,+,5.79e-4,1.82118e-5,0.156,0.156,-0.0502,0.412
SCYL1,6.1112e-8,SCY1 like pseudokinase 1,++,++++,+-,8.888163702497979e-4,0.9219209641092718,+,0.00178,0.001734011,0.478,0.478,-0.0502,0.412
MANEA,1.8836e-6,mannosidase endo-alpha,--,++--,--,0.7400037365445504,9.482220670485517e-4,-,0.0019,0.002767965,0.51,0.51,-0.0502,0.412
ZC3H7B,2.9108e-8,zinc finger CCCH-type containing 7B,++,--++,++,0.0015630456851383567,0.901217144077813,+,0.00313,0.002809492,0.841,0.841,-0.0502,0.412
HARS,2.1021e-7,NA,++,++++,++,0.001909006194853566,0.9996311096112627,+,0.00382,0.0069317185113633535,1.03,1,-0.0502,0.412
TMEM106B,1.2176e-12,transmembrane protein 106B,--,++--,--,0.9600801190806085,0.0019512250419510772,-,0.0039,2.16239e-4,1.05,1,-0.0502,0.412
ARHGEF25,1.902e-6,Rho guanine nucleotide exchange factor 25,++,+-++,NA,0.0021060502814279694,0.9798038729908091,+,0.00421,0.00242952,1.13,1,-0.0502,0.412
HS6ST3,1.6614e-8,heparan sulfate 6-O-sulfotransferase 3,++,--++,+-,0.0022297721453768387,0.8636480971995049,+,0.00446,0.001631929,1.2,1,-0.0502,0.412
ITPR3,1.551e-6,"inositol 1,4,5-trisphosphate receptor type 3",+-,+-++,Filtered_Out,0.003109702618827521,0.967745920008295,+,0.00622,0.00799503,1.67,1,-0.0502,0.412
SAMD5,1.2098e-8,sterile alpha motif domain containing 5,--,----,--,0.9996912683982501,0.003558036903608721,-,0.00712,0.016736706372868716,1.91,1,-0.0502,0.412
UBE2M,8.888e-7,ubiquitin conjugating enzyme E2 M,++,--++,-+,0.003730538765162083,0.8230419979717924,+,0.00746,4.9052e-5,2.01,1,-0.0502,0.412
SPRY2,8.2557e-7,sprouty RTK signaling antagonist 2,+-,----,+-,0.9622326630999661,0.005182737188409385,-,0.0104,0.007577574,2.79,1,-0.0502,0.412
BAZ2B,1.3215e-7,bromodomain adjacent to zinc finger domain 2B,--,+++-,--,0.9569922612452164,0.006014407261622209,-,0.012,0.013601592,3.24,1,-0.0502,0.412
ZNF638,1.8282e-7,zinc finger protein 638,--,+++-,NA,0.8693291290081013,0.006189150686539849,-,0.0124,0.001959458,3.33,1,-0.0502,0.412
SLC4A9,2.6577e-6,solute carrier family 4 member 9,--,-+--,Filtered_Out,0.8247437414887087,0.006900330835589191,-,0.0138,0.020928616,3.71,1,-0.0502,0.412
NRD1,2.6643e-8,NA,NA,NA,NA,0.9922888122866595,0.007037866414905284,-,0.0141,0.015242509,3.79,1,-0.0502,0.412
MYRF,1.6847e-8,myelin regulatory factor,--,-+--,--,0.9120660359376294,0.007237323525365825,-,0.0145,0.025741386,3.89,1,-0.0502,0.412
MGAT4C,1.2237e-6,MGAT4 family member C,-+,+---,--,0.9340916417126996,0.0073684864515591265,-,0.0147,0.002131326,3.96,1,-0.0502,0.412
LST1,5.4242e-9,leukocyte specific transcript 1,--,++++,-+,0.008652646013902079,0.033732864477179034,+,0.0173,0.003058614,4.66,1,-0.0502,0.412
SEMA6D,4.0971e-9,semaphorin 6D,-+,-+--,-+,0.18586614963229856,0.011591419731548765,-,0.0232,0.00427009,6.24,1,-0.0502,0.412
OLFM4,1.6990999999999999e-12,olfactomedin 4,++,+-++,Filtered_Out,0.013653707773329846,0.9955560818027246,+,0.0273,0.04493066573233237,7.35,1,-0.0502,0.412
PAX6,1.6677e-9,paired box 6,++,++--,--,0.6304921402248211,0.013765769206088435,-,0.0275,0.002175936,7.41,1,-0.0502,0.412
CRB1,2.4995e-7,crumbs cell polarity complex component 1,+-,++--,+-,0.7850239748593619,0.0139763712492792,-,0.028,9.89607e-4,7.52,1,-0.0502,0.412
SERPING1,2.4511e-6,serpin family G member 1,++,--++,++,0.014042318883130848,0.9838185281991155,+,0.0281,0.004084704530120423,7.55,1,-0.0502,0.412
C11orf31,5.1084e-7,NA,NA,NA,NA,0.8748826094517018,0.015121518220488106,-,0.0302,0.023441292,8.14,1,-0.0502,0.412
ZMAT2,2.4426e-6,zinc finger matrin-type 2,++,++++,+-,0.015195332827492199,0.8457158152738293,+,0.0304,0.024694837,8.18,1,-0.0502,0.412
HLA-DQB1,2.3306e-7,"major histocompatibility complex, class II, DQ beta 1",--,-+--,NA,0.9910074548930697,0.016482914347990353,-,0.033,0.04883371533595394,8.87,1,-0.0502,0.412
OR2B2,2.7942e-12,olfactory receptor family 2 subfamily B member 2,++,NA,Filtered_Out,0.016804803053684415,0.9831951969463155,+,0.0336,0.03360960610736883,9.04,1,-0.0502,0.412
