gene_symbol,Howard.pvalue,gene_name,RamakerDir,LabonteDir,DingDir,meta_direction,meta_p,Bonferroni_meta_p,slim_region_location,cell_type_taxon,DE_Prior_Rank
SAMD5,1.21e-08,sterile alpha motif domain containing 5,----,--------,--+---,-,5.12e-05,0.0138,locus ceruleus < pontine tegmentum,Enteric neurons,0.882
ZC3H7B,2.91e-08,zinc finger CCCH-type containing 7B,+-++,----++++,+++++-,+,5.64e-05,0.0152,pontine nuclei < basal part of pons,Sympathetic cholinergic neurons,0.183
SPRY2,8.26e-07,sprouty RTK signaling antagonist 2,+---,--------,++-+--,-,6.28e-05,0.0169,IX paravermis <  IX  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Enteric neurons,0.938
UBE2M,8.89e-07,ubiquitin conjugating enzyme E2 M,+-+-,-+--++++,+---++,+,7.51e-05,0.0202,parolfactory gyri < frontal lobe,Peripheral sensory neurofilament neurons,Not_Available
CKB,1.76e-08,creatine kinase B,+-+-,++--++++,-++-+-,+,0.000216,0.0581,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  < dorsal thalamus,Peripheral sensory neurofilament neurons,0.864
ITPR3,1.55e-06,"inositol 1,4,5-trisphosphate receptor type 3",++--,++--++++,Filtered_Out,+,0.000238,0.064,supraoptic nucleus < anterior hypothalamic region,Satellite glia,0.733
TRAF3,3.17e-07,TNF receptor associated factor 3,+-++,-----++-,+-----,-,0.00147,0.394,central glial substance <  myelencephalon  < gray matter,Hindbrain neurons,0.428
ZNF638,1.83e-07,zinc finger protein 638,-+--,+++-+---,Not_Available,-,0.00184,0.496,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Not_Available,0.685
MANEA,1.88e-06,mannosidase endo-alpha,-+-+,++++----,---+-+,-,0.00272,0.731,lateral group of nuclei dorsal division <  lateral group of nuclei  < dorsal thalamus,Hindbrain neurons,0.87
HLA-DQB1,2.33e-07,"major histocompatibility complex, class II, DQ beta 1",----,--+-----,Not_Available,-,0.00272,0.732,supraoptic nucleus < anterior hypothalamic region,Oligodendrocytes,0.989
ARHGEF25,1.9e-06,Rho guanine nucleotide exchange factor 25,+-++,+---++++,Not_Available,+,0.00404,1,VI paravermis <  VI  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Peripheral sensory neurofilament neurons,0.292
C16orf45,1.86e-09,BMERB Domain Containing 1,+-+-,---+++++,--++-+,+,0.00438,1,dentate gyrus <  hippocampal formation  < limbic lobe,Cholinergic and monoaminergic neurons,0.584
SOX5,3.79e-09,SRY-box 5,++-+,--------,Filtered_Out,-,0.00464,1,central glial substance <  myelencephalon  < gray matter,Telencephalon projecting excitatory neurons,0.654
CTNND1,7.75e-08,catenin delta 1,-+-+,----+-+-,----+-,-,0.00478,1,central glial substance <  myelencephalon  < gray matter,Peripheral sensory non-peptidergic neurons,Not_Available
KDM3A,1.76e-09,lysine demethylase 3A,-++-,+++-----,Not_Available,-,0.00506,1,globus pallidus internal segment <  globus pallidus  < basal ganglia,Ependymal cells,0.316
MYRF,1.68e-08,myelin regulatory factor,-+--,-+++---+,---+-+,-,0.00567,1,corpus callosum < telencephalic commissures,Oligodendrocytes,0.801
PCDH9,3.53e-10,protocadherin 9,-+-+,-+++----,-+++++,+,0.0076,1,corpus callosum < telencephalic commissures,Oligodendrocytes,0.94
RERE,1.43e-11,arginine-glutamic acid dipeptide repeats,++++,----++++,+++-+-,+,0.00998,1,V lateral hemisphere <  V  <  Anterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Sympathetic cholinergic neurons,0.53
SCYL1,6.11e-08,SCY1 like pseudokinase 1,+++-,++++++++,-++---,+,0.011,1,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  < dorsal thalamus,Sympathetic cholinergic neurons,0.207
YLPM1,3.52e-10,YLP motif containing 1,-+--,----+--+,Not_Available,-,0.0117,1,dentate gyrus <  hippocampal formation  < limbic lobe,Cholinergic and monoaminergic neurons,0.157
TMEM106B,1.22e-12,transmembrane protein 106B,-+-+,++++----,---+-+,-,0.0119,1,reticular nucleus of thalamus < ventral thalamus,Cholinergic and monoaminergic neurons,0.857
