structure_name,genome_tissue_count,sample_tissue_count,expected_tissue_count,hypergeometric_p,corrected_hypergeometric_p,enclosing_regions,region_location
dorsal lateral geniculate nucleus,431,15,5.5349082370980875,4.53e-4,0.0806,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  < dorsal thalamus,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter
CA3 field,216,8,2.773875125784657,0.00667,1,CA3 field <  hippocampal formation  < limbic lobe,CA3 field <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter
midbrain raphe nuclei,60,4,0.7705208682735157,0.0072,1,midbrain raphe nuclei < midbrain tegmentum,midbrain raphe nuclei <  midbrain tegmentum  <  mesencephalon  < gray matter
III paravermis,180,7,2.3115626048205473,0.00845,1,III paravermis <  III  <  Anterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,III paravermis <  III  <  Anterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter
nucleus of the diagonal band horizontal division,56,3,0.7191528103886147,0.0346,1,nucleus of the diagonal band horizontal division <  nucleus of the diagonal band  <  substantia innominata  < basal forebrain,nucleus of the diagonal band horizontal division <  nucleus of the diagonal band  <  substantia innominata  <  basal forebrain  <  cerebral nuclei  <  telencephalon  < gray matter
lateral group of nuclei dorsal division,106,4,1.361253533949878,0.0468,1,lateral group of nuclei dorsal division <  lateral group of nuclei  < dorsal thalamus,lateral group of nuclei dorsal division <  lateral group of nuclei  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter
postcentral gyrus bank of the central sulcus,4,1,0.05136805788490105,0.05,1,postcentral gyrus bank of the central sulcus <  postcentral gyrus  < parietal lobe,postcentral gyrus bank of the central sulcus <  postcentral gyrus  <  parietal lobe  <  cerebral cortex  <  telencephalon  < gray matter
superior temporal gyrus lateral bank of gyrus,4,1,0.05136805788490105,0.05,1,superior temporal gyrus lateral bank of gyrus <  superior temporal gyrus  < temporal lobe,superior temporal gyrus lateral bank of gyrus <  superior temporal gyrus  <  temporal lobe  <  cerebral cortex  <  telencephalon  < gray matter
supraoptic nucleus,328,8,4.212180746561886,0.0599,1,supraoptic nucleus < anterior hypothalamic region,supraoptic nucleus <  anterior hypothalamic region  <  hypothalamus  <  diencephalon  < gray matter
lingual gyrus striate,71,3,0.9117830274569937,0.0622,1,lingual gyrus striate <  lingual gyrus  < occipital lobe,lingual gyrus striate <  lingual gyrus  <  occipital lobe  <  cerebral cortex  <  telencephalon  < gray matter
V lateral hemisphere,130,4,1.669461881259284,0.085,1,V lateral hemisphere <  V  <  Anterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,V lateral hemisphere <  V  <  Anterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter
V,83,3,1.0658872011116969,0.0897,1,V <  anterior lobe of the vermis  <  vermis  < cerebellar cortex,V <  anterior lobe of the vermis  <  vermis  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter
cuneus striate,87,3,1.1172552589965978,0.0998,1,cuneus striate <  cuneus  < occipital lobe,cuneus striate <  cuneus  <  occipital lobe  <  cerebral cortex  <  telencephalon  < gray matter
IV,94,3,1.2071493602951748,0.119,1,IV <  anterior lobe of the vermis  <  vermis  < cerebellar cortex,IV <  anterior lobe of the vermis  <  vermis  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter
substantia nigra pars compacta,205,5,2.6326129666011786,0.122,1,substantia nigra pars compacta < substantia nigra,substantia nigra pars compacta <  substantia nigra  <  midbrain tegmentum  <  mesencephalon  < gray matter
