gene_symbol,Howard_pvalue,gene_name,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_genome_percentile_rank,meta_meta_lower_in_MDD_genome_percentile_rank,meta_direction,meta_empirical_p,minp,Spearman_corr,Spearman_p,Corrected_meta_empirical_p,Bonferroni_meta_empirical_p,DE_Prior_Rank,brain_region,region_location,slim_region_location,Updated_Gene_Names,cns_cell_type_taxon,cns_cell_type_taxon_zscore,cell_type_taxon,cell_type_taxon_zscore
HLA-B,4.33e-11,"major histocompatibility complex, class I, B",+--++-,++++++++++++,+-+-+-+-,0.00523407495280199,0.766350657159317,+,0.0105,0.005617603,0.0229,0.708,2.82,1,0.771,supraoptic nucleus,supraoptic nucleus <  anterior hypothalamic region  <  hypothalamus  <  diencephalon  < gray matter,supraoptic nucleus < anterior hypothalamic region,HLA-B,Not_Available,Not_Available,Not_Available,Not_Available
SERPING1,2.45e-06,serpin family G member 1,++++++,---++-++++++,-+++-+++,0.00549513247448904,0.960086272396342,+,0.011,0.00408470453012042,0.0229,0.708,2.96,1,0.983,central glial substance,central glial substance <  myelencephalon  < gray matter,central glial substance <  myelencephalon  < gray matter,SERPING1,Vascular and leptomeningeal cells,5.32011632751613,Vascular and leptomeningeal cells,4.13708695278917
SPRY2,8.26e-07,sprouty RTK signaling antagonist 2,+-----,-----------+,++--+---,0.999217701593241,0.00685896453470221,-,0.0137,0.00653533,0.0229,0.708,3.69,1,0.938,IX paravermis,IX paravermis <  IX  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,IX paravermis <  IX  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,SPRY2,Enteric glia,4.11970794127568,Enteric neurons,3.47774007250763
ITPR3,1.55e-06,"inositol 1,4,5-trisphosphate receptor type 3",+++-+-,++--+-++++++,Filtered_Out,0.00730252033894492,0.934793543758084,+,0.0146,0.001833984,0.0229,0.708,3.93,1,0.733,supraoptic nucleus,supraoptic nucleus <  anterior hypothalamic region  <  hypothalamus  <  diencephalon  < gray matter,supraoptic nucleus < anterior hypothalamic region,ITPR3,Satellite glia,3.93754857362934,Satellite glia,4.27437577594778
HLA-DQB1,2.33e-07,"major histocompatibility complex, class II, DQ beta 1",----+-,--+--+------,Not_Available,0.995019533900577,0.0097112556262389,-,0.0194,0.0488337153359539,0.0229,0.708,5.22,1,0.989,supraoptic nucleus,supraoptic nucleus <  anterior hypothalamic region  <  hypothalamus  <  diencephalon  < gray matter,supraoptic nucleus < anterior hypothalamic region,HLA-DQB1,Oligodendrocytes,5.07595686578728,Oligodendrocytes,5.45495155214386
SOX5,3.79e-09,SRY-box 5,+-+--+,-----------+,Filtered_Out,0.995222252837843,0.0119729022634436,-,0.0239,0.040092956,0.0229,0.708,6.44,1,0.654,central glial substance,central glial substance <  myelencephalon  < gray matter,central glial substance <  myelencephalon  < gray matter,SOX5,Telencephalon projecting excitatory neurons,3.00573519111546,Telencephalon projecting excitatory neurons,3.23285881562931
SAMD5,1.21e-08,sterile alpha motif domain containing 5,----+-,----------++,--++--+-,0.936109756162809,0.0144842520795835,-,0.029,0.001158159,0.0229,0.708,7.79,1,0.882,locus ceruleus,locus ceruleus <  pontine tegmentum  <  pons  <  metencephalon  < gray matter,locus ceruleus < pontine tegmentum,SAMD5,Di- and mesencephalon inhibitory neurons,2.31663627794291,Enteric neurons,3.41099224324459
RFTN2,5.41e-07,raftlin family member 2,------,++++++------,--+-++++,0.720887595718693,0.0155327543296224,-,0.0311,0.0363944585616798,0.0229,0.708,8.36,1,0.444,corpus callosum,corpus callosum <  telencephalic commissures  <  telencephalic white matter  < white matter,corpus callosum < telencephalic commissures,RFTN2,Enteric glia,3.07228894242944,Enteric glia,3.28226436108575
PSORS1C1,1.74e-08,psoriasis susceptibility 1 candidate 1,+---+-,Missing_P_Values,Filtered_Out,0.898927675108373,0.0155715263518138,-,0.0311,0.00563886258224023,0.0229,0.708,8.38,1,0.0512,temporal pole superior aspect,temporal pole superior aspect <  temporal pole  <  temporal lobe  <  cerebral cortex  <  telencephalon  < gray matter,temporal pole superior aspect <  temporal pole  < temporal lobe,PSORS1C1,Not_Available,Not_Available,Not_Available,Not_Available
CKB,1.76e-08,creatine kinase B,++-++-,++----++++++,-+++-++-,0.0161725854433409,0.920747010759925,+,0.0323,1.82118e-05,0.0229,0.708,8.7,1,0.864,dorsal lateral geniculate nucleus,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  < dorsal thalamus,CKB,Subcommissural organ hypendymal cells,2.33869058684455,Peripheral sensory neurofilament neurons,2.2233114665496
TRAF3,3.17e-07,TNF receptor associated factor 3,+--+++,-------++---,+-+-----,0.995265418430244,0.0169331090136116,-,0.0339,0.011555865,0.0229,0.708,9.11,1,0.428,central glial substance,central glial substance <  myelencephalon  < gray matter,central glial substance <  myelencephalon  < gray matter,TRAF3,Hindbrain neurons,3.26811898489611,Hindbrain neurons,2.9800683009023
KDM3A,1.76e-09,lysine demethylase 3A,--++--,+++-++----+-,Not_Available,0.936753429202959,0.0176400921932051,-,0.0353,0.005746965,0.0229,0.708,9.49,1,0.316,globus pallidus internal segment,globus pallidus internal segment <  globus pallidus  <  basal ganglia  <  cerebral nuclei  <  telencephalon  < gray matter,globus pallidus internal segment <  globus pallidus  < basal ganglia,KDM3A,Ependymal cells,3.98128113265545,Ependymal cells,3.59907718503345
ZNF638,1.83e-07,zinc finger protein 638,--+---,+++-+-+---+-,Not_Available,0.917198515781025,0.0185534211044881,-,0.0371,0.001959458,0.0229,0.708,9.98,1,0.685,VIIIB lateral hemisphere,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,ZNF638,Not_Available,Not_Available,Not_Available,Not_Available
ZNF184,3.34e-08,zinc finger protein 184,++++--,------+-+---,++-+----,0.934464562733551,0.019107369140217,-,0.0382,0.016954203,0.0229,0.708,10.3,1,0.368,CA1 field,CA1 field <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter,CA1 field <  hippocampal formation  < limbic lobe,ZNF184,Non-glutamatergic neuroblasts,3.29333983815876,Non-glutamatergic neuroblasts,3.28351880097876
METTL9,1.74e-10,methyltransferase like 9,++++-+,++++-++-+-++,-+++-+++,0.0202296392674011,0.991206763727741,+,0.0405,0.019618914,0.0229,0.708,10.9,1,0.218,body of caudate nucleus,body of caudate nucleus <  body of the caudate nucleus  <  caudate nucleus  <  striatum  <  basal ganglia  <  cerebral nuclei  <  telencephalon  < gray matter,body of the caudate nucleus  <  caudate nucleus  <  striatum  < basal ganglia,METTL9,Schwann cells,3.2002380803631,Schwann cells,3.07976530243268
HIST1H2BO,9.65e-08,histone cluster 1 H2B family member o,----+-,Not_Available,Filtered_Out,0.652292950034223,0.0213894592744695,-,0.0428,0.00607244484267725,0.0229,0.708,11.5,1,0.528,III paravermis,III paravermis <  III  <  Anterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,III paravermis <  III  <  Anterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,HIST1H2BO,Ependymal cells,4.29415142421203,Ependymal cells,4.47946094136428
MANEA,1.88e-06,mannosidase endo-alpha,-++--+,++++++------,----+-++,0.25539236940435,0.0234295701775495,-,0.0469,0.000771466,0.0229,0.708,12.6,1,0.87,lateral group of nuclei dorsal division,lateral group of nuclei dorsal division <  lateral group of nuclei  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter,lateral group of nuclei dorsal division <  lateral group of nuclei  < dorsal thalamus,MANEA,Hindbrain neurons,3.67354498734173,Hindbrain neurons,3.83091357174874
ZC3H7B,2.91e-08,zinc finger CCCH-type containing 7B,++-+++,------++++-+,++-+++--,0.0262234702703715,0.719138179078575,+,0.0524,0.002430993,0.0229,0.708,14.1,1,0.183,pontine nuclei,pontine nuclei <  basal part of pons  <  pons  <  metencephalon  < gray matter,pontine nuclei < basal part of pons,ZC3H7B,Cholinergic and monoaminergic neurons,3.77444321120833,Sympathetic cholinergic neurons,2.36603288386083
BEND4,1.3e-07,BEN domain containing 4,--++-+,---+--------,Not_Available,0.876954131284808,0.026737504504307,-,0.0535,0.003839183,0.0229,0.708,14.4,1,0.855,substantia nigra pars compacta,substantia nigra pars compacta <  substantia nigra  <  midbrain tegmentum  <  mesencephalon  < gray matter,substantia nigra pars compacta < substantia nigra,BEND4,Cholinergic and monoaminergic neurons,4.22990046520913,Cholinergic and monoaminergic neurons,3.2158369602427
OLFM4,1.7e-12,olfactomedin 4,++++++,++-++++++-+-,Filtered_Out,0.0272611742269567,0.982614120247078,+,0.0545,0.0449306657323324,0.0229,0.708,14.7,1,0.99,supraoptic nucleus,supraoptic nucleus <  anterior hypothalamic region  <  hypothalamus  <  diencephalon  < gray matter,supraoptic nucleus < anterior hypothalamic region,OLFM4,Peptidergic neurons,4.1737192292522,Peptidergic neurons,4.56491232412
BAG5,9.18e-07,BCL2 associated athanogene 5,-+++--,-+++++------,---+-+--,0.988032006577899,0.0273863379460624,-,0.0548,0.018796161,0.0229,0.708,14.7,1,0.595,VIIIB lateral hemisphere,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,BAG5,Schwann cells,4.74994301763411,Sympathetic cholinergic neurons,3.08399659801482
BTN1A1,7.4e-09,butyrophilin subfamily 1 member A1,+-+--+,Not_Available,Filtered_Out,0.320727812000913,0.0302874743326489,-,0.0606,0.0173104019194355,0.0229,0.708,16.3,1,0.0995,CA2 field,CA2 field <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter,CA2 field <  hippocampal formation  < limbic lobe,BTN1A1,Di- and mesencephalon inhibitory neurons,3.97528722444647,Di- and mesencephalon inhibitory neurons,4.33940339359627
OR12D3,1.2e-09,olfactory receptor family 12 subfamily D member 3,--++++,Not_Available,Filtered_Out,0.0349646360939995,0.991900524754734,+,0.0699,0.218482281837374,0.0229,0.708,18.8,1,0.0523,lateral tuberal nucleus,lateral tuberal nucleus <  tuberal region  <  hypothalamus  <  diencephalon  < gray matter,lateral tuberal nucleus < tuberal region,OR12D3,Gene detected; No expression measured,Not_Available,Gene detected; No expression measured,Not_Available
PCDH9,3.53e-10,protocadherin 9,--+--+,-++++------+,-+++++++,0.03621516349113,0.185245569344508,+,0.0724,0.004988764,0.0229,0.708,19.5,1,0.94,corpus callosum,corpus callosum <  telencephalic commissures  <  telencephalic white matter  < white matter,corpus callosum < telencephalic commissures,PCDH9,Oligodendrocytes,3.70140632202485,Oligodendrocytes,3.84835815637682
TCF4,4.55e-16,transcription factor 4,+-+-++,-+--+---+---,+-+++-++,0.0368617782834395,0.247655084841265,+,0.0737,0.002236053,0.0229,0.708,19.8,1,0.968,VIIB,VIIB <  posterior lobe of the vermis  <  vermis  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,VIIB <  posterior lobe of the vermis  <  vermis  < cerebellar cortex,TCF4,Telencephalon inhibitory interneurons,4.0084051754747,Telencephalon inhibitory interneurons,3.77388307459323
PPP6C,1.1e-06,protein phosphatase 6 catalytic subunit,++++-+,++++-+------,----+--+,0.821522419450572,0.0370260651010162,-,0.0741,0.005052903,0.0229,0.708,19.9,1,0.577,reticular nucleus of thalamus,reticular nucleus of thalamus <  ventral thalamus  <  thalamus  <  diencephalon  < gray matter,reticular nucleus of thalamus < ventral thalamus,PPP6C,Cholinergic and monoaminergic neurons,3.92426142099383,Sympathetic cholinergic neurons,2.94432522454954
YLPM1,3.52e-10,YLP motif containing 1,-++---,----+-+--+++,Not_Available,0.941261355042874,0.0382225289274921,-,0.0764,0.001039362,0.0229,0.708,20.6,1,0.157,dentate gyrus,dentate gyrus <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter,dentate gyrus <  hippocampal formation  < limbic lobe,YLPM1,Cholinergic and monoaminergic neurons,2.78122141791888,Cholinergic and monoaminergic neurons,2.74398735586121
