gene_symbol,Howard_pvalue,gene_name,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_genome_percentile_rank,meta_meta_lower_in_MDD_genome_percentile_rank,meta_direction,meta_empirical_p,minp,Spearman_corr,Spearman_p,Corrected_meta_empirical_p,Bonferroni_meta_empirical_p,DE_Prior_Rank,brain_region,region_location,slim_region_location,Updated_Gene_Names,cns_cell_type_taxon,cns_cell_type_taxon_zscore,cell_type_taxon,cell_type_taxon_zscore
HSPA1A,8.13e-08,heat shock protein family A (Hsp70) member 1A,---,------,-+-+,0.99226276410157,0.00048650709807803,-,0.000973,0.052021844,0.0357,0.56,0.262,0.262,0.983,corpus callosum,corpus callosum <  telencephalic commissures  <  telencephalic white matter  < white matter,corpus callosum < telencephalic commissures,HSPA1A,Enteric glia,5.25706923807914,Enteric glia,5.18641512450258
CKB,1.76e-08,creatine kinase B,++-,++++++,-++-,0.00155462309752921,0.960532047201606,+,0.00311,1.82118e-05,0.0357,0.56,0.836,0.836,0.864,dorsal lateral geniculate nucleus,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  < dorsal thalamus,CKB,Subcommissural organ hypendymal cells,2.33869058684455,Peripheral sensory neurofilament neurons,2.2233114665496
KDM3A,1.76e-09,lysine demethylase 3A,+--,----+-,Not_Available,0.972262591350593,0.00162216018409728,-,0.00324,0.005746965,0.0357,0.56,0.873,0.873,0.316,globus pallidus internal segment,globus pallidus internal segment <  globus pallidus  <  basal ganglia  <  cerebral nuclei  <  telencephalon  < gray matter,globus pallidus internal segment <  globus pallidus  < basal ganglia,KDM3A,Ependymal cells,3.98128113265545,Ependymal cells,3.59907718503345
PSORS1C1,1.74e-08,psoriasis susceptibility 1 candidate 1,-+-,Missing_P_Values,Filtered_Out,0.961099703399498,0.00216746520647958,-,0.00433,0.00337803127868115,0.0357,0.56,1.17,1,0.0512,temporal pole superior aspect,temporal pole superior aspect <  temporal pole  <  temporal lobe  <  cerebral cortex  <  telencephalon  < gray matter,temporal pole superior aspect <  temporal pole  < temporal lobe,PSORS1C1,Not_Available,Not_Available,Not_Available,Not_Available
UBE2M,8.89e-07,ubiquitin conjugating enzyme E2 M,++-,++++++,-+-+,0.00277427259041509,0.956278878046304,+,0.00555,4.9052e-05,0.0357,0.56,1.49,1,Not_Available,parolfactory gyri,parolfactory gyri <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter,parolfactory gyri < frontal lobe,UBE2M,Cholinergic and monoaminergic neurons,3.22987670847492,Peripheral sensory neurofilament neurons,3.17743122694966
ITPR3,1.55e-06,"inositol 1,4,5-trisphosphate receptor type 3",-+-,++++++,Filtered_Out,0.00357796884736749,0.914326844465937,+,0.00716,0.001833984,0.0357,0.56,1.92,1,0.733,supraoptic nucleus,supraoptic nucleus <  anterior hypothalamic region  <  hypothalamus  <  diencephalon  < gray matter,supraoptic nucleus < anterior hypothalamic region,ITPR3,Satellite glia,3.93754857362934,Satellite glia,4.27437577594778
ARHGEF25,1.9e-06,Rho guanine nucleotide exchange factor 25,+++,++++--,Not_Available,0.00438096994844542,0.957111141800862,+,0.00876,0.00242952,0.0357,0.56,2.36,1,0.292,VI paravermis,VI paravermis <  VI  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,VI paravermis <  VI  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,ARHGEF25,Telencephalon projecting excitatory neurons,3.01383272171116,Peripheral sensory neurofilament neurons,2.86825843392875
ZNF638,1.83e-07,zinc finger protein 638,---,+---+-,Not_Available,0.976359103392116,0.00894653500554774,-,0.0179,0.001959458,0.0357,0.56,4.81,1,0.685,VIIIB lateral hemisphere,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,ZNF638,Not_Available,Not_Available,Not_Available,Not_Available
METTL9,1.74e-10,methyltransferase like 9,+-+,+-+-++,-+++,0.0112967160731461,0.967963589420892,+,0.0226,0.019618914,0.0357,0.56,6.08,1,0.218,body of caudate nucleus,body of caudate nucleus <  body of the caudate nucleus  <  caudate nucleus  <  striatum  <  basal ganglia  <  cerebral nuclei  <  telencephalon  < gray matter,body of the caudate nucleus  <  caudate nucleus  <  striatum  < basal ganglia,METTL9,Schwann cells,3.2002380803631,Schwann cells,3.07976530243268
BAG5,9.18e-07,BCL2 associated athanogene 5,+--,------,-+--,0.962797826572512,0.016724796175227,-,0.0334,0.019715352,0.0357,0.56,9,1,0.595,VIIIB lateral hemisphere,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,BAG5,Schwann cells,4.74994301763411,Sympathetic cholinergic neurons,3.08399659801482
