gene_symbol,Howard_pvalue,gene_name,Ramaker.Gene,Labonte.Gene,Ding.Gene,Match Across Studies?
SORCS3,2.2733e-19,sortilin related VPS10 domain containing receptor 3,SORCS3,SORCS3,SORCS3,TRUE
RBFOX1,6.0939e-17,RNA binding fox-1 homolog 1,RBFOX1,RBFOX1,A2BP1,FALSE
GRM5,6.2138e-17,glutamate metabotropic receptor 5,GRM5,GRM5,unused,FALSE
HIST1H2BN,6.9e-17,NA,HIST1H2BN,HIST1H2BN,unused,FALSE
SHISA9,8.9846e-17,shisa family member 9,SHISA9,SHISA9,NA,FALSE
TCF4,4.5521e-16,transcription factor 4,TCF4,TCF4,TCF4,TRUE
NEGR1,3.5506e-15,neuronal growth regulator 1,NEGR1,NEGR1,NEGR1,TRUE
HIST1H3J,1.093e-14,NA,HIST1H3J,NA,unused,FALSE
DENND1A,1.5351e-14,DENN domain containing 1A,DENND1A,DENND1A,DENND1A,TRUE
DCC,2.5652e-14,DCC netrin 1 receptor,DCC,DCC,unused,TRUE
RSRC1,2.5991e-14,arginine and serine rich coiled-coil 1,RSRC1,RSRC1,RSRC1,TRUE
TENM2,2.767e-14,teneurin transmembrane protein 2,TENM2,TENM2,ODZ2,FALSE
TMEM161B,4.7697e-14,transmembrane protein 161B,TMEM161B,TMEM161B,TMEM161B,TRUE
DRD2,5.3507e-14,dopamine receptor D2,DRD2,DRD2,NA,FALSE
PGBD1,5.9534e-14,piggyBac transposable element derived 1,PGBD1,PGBD1,PGBD1,TRUE
ZKSCAN4,7.5101e-14,zinc finger with KRAB and SCAN domains 4,ZKSCAN4,ZKSCAN4,ZKSCAN4,TRUE
HIST1H1B,9.9717e-14,NA,HIST1H1B,NA,unused,FALSE
ERBB4,1.2937e-13,erb-b2 receptor tyrosine kinase 4,ERBB4,ERBB4,ERBB4,TRUE
ZKSCAN8,2.0086e-13,zinc finger with KRAB and SCAN domains 8,ZKSCAN8,ZKSCAN8,unused,FALSE
BTN3A2,3.9579e-13,butyrophilin subfamily 3 member A2,BTN3A2,BTN3A2,BTN3A2,TRUE
PCLO,6.5683e-13,piccolo presynaptic cytomatrix protein,PCLO,PCLO,NA,FALSE
ZSCAN16,6.6456e-13,zinc finger and SCAN domain containing 16,ZSCAN16,ZSCAN16,unused,FALSE
ZSCAN9,8.2837e-13,zinc finger and SCAN domain containing 9,ZSCAN9,ZSCAN9,unused,FALSE
TMEM106B,1.2176e-12,transmembrane protein 106B,TMEM106B,TMEM106B,TMEM106B,TRUE
MEF2C,1.5763e-12,myocyte enhancer factor 2C,MEF2C,MEF2C,MEF2C,TRUE
OLFM4,1.6990999999999999e-12,olfactomedin 4,OLFM4,OLFM4,unused,FALSE
GRM8,1.8034e-12,glutamate metabotropic receptor 8,GRM8,GRM8,GRM8,TRUE
ZNF165,1.9547e-12,zinc finger protein 165,ZNF165,ZNF165,unused,FALSE
LRFN5,2.0372e-12,leucine rich repeat and fibronectin type III domain containing 5,LRFN5,LRFN5,LRFN5,TRUE
OR2B2,2.7942e-12,olfactory receptor family 2 subfamily B member 2,OR2B2,NA,unused,FALSE
HIST1H2BL,3.5412e-12,NA,HIST1H2BL,HIST1H2BL,NA,FALSE
ZCCHC7,4.1883e-12,zinc finger CCHC-type containing 7,ZCCHC7,ZCCHC7,ZCCHC7,TRUE
B3GALTL,5.6953e-12,NA,NA,NA,NA,NA
BTN2A1,6.6923e-12,butyrophilin subfamily 2 member A1,BTN2A1,BTN2A1,BTN2A1,TRUE
ZSCAN26,8.5081e-12,zinc finger and SCAN domain containing 26,ZSCAN26,ZSCAN26,ZNF187,FALSE
RERE,1.4299e-11,arginine-glutamic acid dipeptide repeats,RERE,RERE,RERE,TRUE
CDH13,1.5938e-11,cadherin 13,CDH13,CDH13,CDH13,TRUE
ASTN2,2.1867e-11,astrotactin 2,ASTN2,ASTN2,ASTN2,TRUE
CACNA1E,2.8558e-11,calcium voltage-gated channel subunit alpha1 E,CACNA1E,CACNA1E,CACNA1E,TRUE
HIST1H2AL,3.4904e-11,NA,HIST1H2AL,NA,NA,FALSE
HLA-B,4.3342e-11,"major histocompatibility complex, class I, B",HLA-B,HLA-B,HLA-B,TRUE
HIST1H4L,6.1718e-11,NA,HIST1H4L,NA,unused,FALSE
ZSCAN12,8.579e-11,zinc finger and SCAN domain containing 12,ZSCAN12,ZSCAN12,unused,FALSE
CHD6,1.3778e-10,chromodomain helicase DNA binding protein 6,CHD6,CHD6,CHD6,TRUE
CTNNA3,1.6889e-10,catenin alpha 3,CTNNA3,CTNNA3,unused,FALSE
METTL9,1.7424e-10,methyltransferase like 9,METTL9,METTL9,METTL9,TRUE
MEGF11,1.7823e-10,multiple EGF like domains 11,MEGF11,MEGF11,unused,FALSE
ZSCAN31,1.8159e-10,zinc finger and SCAN domain containing 31,ZSCAN31,ZSCAN31,ZNF323,FALSE
ZNF197,2.2773e-10,zinc finger protein 197,ZNF197,ZNF197,unused,FALSE
KLC1,2.4595e-10,kinesin light chain 1,KLC1,KLC1,KLC1,TRUE
ZNF660,2.4714e-10,zinc finger protein 660,ZNF660,ZNF660,unused,FALSE
SPPL3,2.8497e-10,signal peptide peptidase like 3,SPPL3,SPPL3,NA,FALSE
YLPM1,3.52e-10,YLP motif containing 1,YLPM1,YLPM1,NA,FALSE
PCDH9,3.5314e-10,protocadherin 9,PCDH9,PCDH9,PCDH9,TRUE
ZNF445,3.5346e-10,zinc finger protein 445,ZNF445,ZNF445,ZNF445,TRUE
ZKSCAN7,5.1089e-10,zinc finger with KRAB and SCAN domains 7,ZKSCAN7,ZKSCAN7,unused,FALSE
HIST1H3I,6.378e-10,NA,HIST1H3I,NA,unused,FALSE
LIN28B,6.5708e-10,lin-28 homolog B,LIN28B,LIN28B,unused,FALSE
PAX5,6.6739e-10,paired box 5,PAX5,UNUSED,unused,FALSE
PROX2,7.5512e-10,prospero homeobox 2,PROX2,UNUSED,NA,FALSE
FAM172A,7.7452e-10,family with sequence similarity 172 member A,FAM172A,FAM172A,NA,FALSE
